IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-uni-False-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=0, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-mp-True-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=1, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-mp-True-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=2, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-mp-False-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=3, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-mp-False-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=4, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-uni-True-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=5, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-uni-True-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=6, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-uni-False-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=7, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-uni-False-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=0, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-mp-True-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=1, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-mp-True-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=2, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-mp-False-False-5-FLASH_ATTN-hmellor/tiny-random-Gemma2ForCausalLM] (gpu=3, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[False-mp-False-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=4, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-ray--L4-extra_env0] (gpu=5, Nonems, exit=2)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-mp--L4-extra_env1] (gpu=6, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-ray--L4-extra_env2] (gpu=7, Nonems, exit=1)
