IGNORED        tests/entrypoints/pooling/score/test_online_score.py::TestModel::test_invocations[model1] (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/pooling/score/test_online_score.py::TestModel::test_use_activation[model1] (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_customer_script_functions_auto_loaded (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_customer_decorator_usage (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_handler_priority_order (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_environment_variable_script_loading (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_framework_default_handlers (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_handler_env_var_override (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_handler_overrides.py::TestHandlerOverrideIntegration::test_env_var_priority_over_decorator_and_script (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_lora_adapters.py::test_sagemaker_load_adapter_happy_path (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_lora_adapters.py::test_sagemaker_unload_adapter_happy_path (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_lora_adapters.py::test_sagemaker_load_adapter_not_found (gpu=0, Nonems, exit=1)
IGNORED        tests/entrypoints/sagemaker/test_sagemaker_lora_adapters.py::test_sagemaker_load_adapter_invalid_files (gpu=0, Nonems, exit=1)
