PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-1024] (gpu=0, 878ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-1025] (gpu=2, 159ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-1027] (gpu=3, 153ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-1029] (gpu=4, 178ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-5120] (gpu=5, 852ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-1-5137] (gpu=6, 211ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-1] (gpu=0, 143ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-64] (gpu=2, 124ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-1024] (gpu=3, 796ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-1025] (gpu=4, 219ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-1027] (gpu=5, 266ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-1029] (gpu=6, 248ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-2048-5137] (gpu=0, 163ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-4096-1] (gpu=2, 215ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-4096-64] (gpu=3, 186ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype0-False-True-4096-5137] (gpu=4, 196ms, exit=0)
