PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-True-True-2048-5137] (gpu=0, 125ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-True-True-4096-1] (gpu=2, 230ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-True-True-4096-64] (gpu=3, 230ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-True-True-4096-5137] (gpu=4, 229ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-1] (gpu=5, 224ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-64] (gpu=6, 221ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-1024] (gpu=0, 850ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-1025] (gpu=2, 212ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-1027] (gpu=3, 223ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-1029] (gpu=4, 238ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-5120] (gpu=5, 857ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-1-5137] (gpu=6, 128ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-2048-1] (gpu=0, 124ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-2048-64] (gpu=2, 155ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-2048-1024] (gpu=3, 795ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-False-2048-1025] (gpu=4, 207ms, exit=0)
