PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-True-b_scale_group_shape0-a_scale_group_shape0] (gpu=0, 1799ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-True-b_scale_group_shape0-a_scale_group_shape1] (gpu=2, 1710ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-True-b_scale_group_shape1-a_scale_group_shape0] (gpu=3, 1382ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-True-b_scale_group_shape1-a_scale_group_shape1] (gpu=4, 1726ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-False-b_scale_group_shape0-a_scale_group_shape0] (gpu=5, 1775ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-False-b_scale_group_shape0-a_scale_group_shape1] (gpu=6, 1765ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-False-b_scale_group_shape1-a_scale_group_shape0] (gpu=0, 857ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_int8_gemm_devices[cuda:0-False-b_scale_group_shape1-a_scale_group_shape1] (gpu=2, 848ms, exit=0)
PASSED         tests/kernels/quantization/test_machete_mm.py::test_machete_devices[cuda:0] (gpu=3, 1288ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-512-cuda:0-1] (gpu=4, 2204ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-512-cuda:0-2] (gpu=5, 2241ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-512-cuda:0-4] (gpu=6, 2206ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-32000-cuda:0-1] (gpu=0, 1706ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-32000-cuda:0-2] (gpu=2, 1776ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-32000-cuda:0-4] (gpu=3, 1675ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-64000-cuda:0-1] (gpu=4, 1597ms, exit=0)
