PASSED         tests/lora/test_layers.py::test_embeddings[True-64000-cuda:0-2] (gpu=0, 2305ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-64000-cuda:0-4] (gpu=2, 2260ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-128000-cuda:0-1] (gpu=3, 2335ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-128000-cuda:0-2] (gpu=4, 2312ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[True-128000-cuda:0-4] (gpu=5, 2266ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-512-cuda:0-1] (gpu=6, 310ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-512-cuda:0-2] (gpu=0, 315ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-512-cuda:0-4] (gpu=2, 272ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-32000-cuda:0-1] (gpu=3, 261ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-32000-cuda:0-2] (gpu=4, 322ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-32000-cuda:0-4] (gpu=5, 318ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-64000-cuda:0-1] (gpu=6, 318ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-64000-cuda:0-2] (gpu=0, 282ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-64000-cuda:0-4] (gpu=2, 346ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-128000-cuda:0-1] (gpu=3, 387ms, exit=0)
PASSED         tests/lora/test_layers.py::test_embeddings[False-128000-cuda:0-2] (gpu=4, 393ms, exit=0)
