PASSED         tests/lora/test_layers.py::test_embeddings[False-128000-cuda:0-4] (gpu=0, 306ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-512-cuda:0-1] (gpu=2, 2402ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-512-cuda:0-2] (gpu=3, 2425ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-512-cuda:0-4] (gpu=4, 2435ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-32000-cuda:0-1] (gpu=5, 2310ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-32000-cuda:0-2] (gpu=6, 2566ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-32000-cuda:0-4] (gpu=0, 2384ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-64000-cuda:0-1] (gpu=2, 1897ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-64000-cuda:0-2] (gpu=3, 2283ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-64000-cuda:0-4] (gpu=4, 2492ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-256512-cuda:0-1] (gpu=5, 2176ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-256512-cuda:0-2] (gpu=6, 2501ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[True-256512-cuda:0-4] (gpu=0, 1929ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[False-512-cuda:0-1] (gpu=2, 303ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[False-512-cuda:0-2] (gpu=3, 331ms, exit=0)
PASSED         tests/lora/test_layers.py::test_lm_head_logits_processor[False-512-cuda:0-4] (gpu=4, 330ms, exit=0)
