PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-True-row-2] (gpu=0, 2638ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-True-row-4] (gpu=2, 2683ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-True-column-1] (gpu=3, 2589ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-True-column-2] (gpu=4, 2762ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-True-column-4] (gpu=5, 2759ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-row-1] (gpu=6, 1941ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-row-2] (gpu=0, 1907ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-row-4] (gpu=2, 2025ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-column-1] (gpu=3, 2097ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-column-2] (gpu=4, 2013ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[True-cuda:0-False-column-4] (gpu=5, 1859ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-row-1] (gpu=6, 393ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-row-2] (gpu=0, 255ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-row-4] (gpu=2, 327ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-column-1] (gpu=3, 289ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-column-2] (gpu=4, 269ms, exit=0)
