PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-True-column-4] (gpu=0, 311ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-row-1] (gpu=2, 346ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-row-2] (gpu=3, 370ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-row-4] (gpu=4, 358ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-column-1] (gpu=5, 298ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-column-2] (gpu=6, 344ms, exit=0)
PASSED         tests/lora/test_layers.py::test_linear_parallel[False-cuda:0-False-column-4] (gpu=0, 307ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-1-1] (gpu=2, 2019ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-1-2] (gpu=3, 2169ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-1-4] (gpu=4, 2094ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-2-1] (gpu=5, 2248ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-2-2] (gpu=6, 2290ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-2-4] (gpu=0, 1911ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-3-1] (gpu=2, 2058ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-3-2] (gpu=3, 2070ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-True-3-4] (gpu=4, 1997ms, exit=0)
