PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-1-1] (gpu=0, 2620ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-1-2] (gpu=2, 2771ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-1-4] (gpu=3, 2828ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-2-1] (gpu=4, 2210ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-2-2] (gpu=5, 2736ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-2-4] (gpu=6, 2916ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-3-1] (gpu=0, 1887ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-3-2] (gpu=2, 1873ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[True-cuda:0-False-3-4] (gpu=3, 2123ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-1-1] (gpu=4, 370ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-1-2] (gpu=5, 386ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-1-4] (gpu=6, 379ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-2-1] (gpu=0, 275ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-2-2] (gpu=2, 256ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-2-4] (gpu=3, 343ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-3-1] (gpu=4, 352ms, exit=0)
