PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-3-2] (gpu=0, 371ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-True-3-4] (gpu=2, 365ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-1-1] (gpu=3, 353ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-1-2] (gpu=4, 325ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-1-4] (gpu=5, 338ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-2-1] (gpu=6, 310ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-2-2] (gpu=0, 306ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-2-4] (gpu=2, 361ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-3-1] (gpu=3, 379ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-3-2] (gpu=4, 266ms, exit=0)
PASSED         tests/lora/test_layers.py::test_column_parallel_packed[False-cuda:0-False-3-4] (gpu=5, 393ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_from_lora_tensors[cuda:0] (gpu=6, 668ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_lora_model_manager[cuda:0] (gpu=0, 938ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_lora_lru_cache_model_manager[cuda:0] (gpu=2, 1006ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_lru_lora_model_manager[cuda:0] (gpu=3, 1145ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_lru_cache_worker_adapter_manager[cuda:0] (gpu=4, 1139ms, exit=0)
