PASSED         tests/lora/test_lora_manager.py::test_worker_adapter_manager[cuda:0] (gpu=0, 1186ms, exit=0)
PASSED         tests/lora/test_lora_manager.py::test_packed_loras[cuda:0] (gpu=2, 1330ms, exit=0)
PASSED         tests/model_executor/test_eagle_quantization.py::test_fc_layer_quant_config_usage[cuda:0] (gpu=3, 1162ms, exit=0)
PASSED         tests/v1/logits_processors/test_correctness.py::test_logitsprocs[logitsprocs_under_test0-50-cuda:0] (gpu=4, 1288ms, exit=0)
PASSED         tests/v1/logits_processors/test_correctness.py::test_logitsprocs[logitsprocs_under_test2-50-cuda:0] (gpu=5, 5012ms, exit=0)
PASSED         tests/v1/logits_processors/test_correctness.py::test_logitsprocs[logitsprocs_under_test3-50-cuda:0] (gpu=6, 4964ms, exit=0)
PASSED         tests/v1/logits_processors/test_correctness.py::test_logitsprocs[logitsprocs_under_test4-50-cuda:0] (gpu=0, 37036ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[-2.0-1-cuda:0] (gpu=2, 752ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[-2.0-2-cuda:0] (gpu=3, 678ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[-2.0-32-cuda:0] (gpu=4, 807ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[2.0-1-cuda:0] (gpu=5, 648ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[2.0-2-cuda:0] (gpu=6, 634ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_presence_penalty[2.0-32-cuda:0] (gpu=0, 622ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[-2.0-1-cuda:0] (gpu=2, 715ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[-2.0-2-cuda:0] (gpu=3, 660ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[-2.0-32-cuda:0] (gpu=4, 535ms, exit=0)
