PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[2.0-1-cuda:0] (gpu=0, 1448ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[2.0-2-cuda:0] (gpu=2, 1467ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_frequency_penalty[2.0-32-cuda:0] (gpu=3, 701ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[0.1-1-cuda:0] (gpu=4, 1506ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[0.1-2-cuda:0] (gpu=5, 1545ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[0.1-32-cuda:0] (gpu=6, 1452ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[1.9-1-cuda:0] (gpu=0, 694ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[1.9-2-cuda:0] (gpu=2, 985ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_repetition_penalty[1.9-32-cuda:0] (gpu=3, 1287ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[0-1-cuda:0] (gpu=4, 1110ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[0-2-cuda:0] (gpu=5, 1259ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[0-32-cuda:0] (gpu=6, 1499ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[1-1-cuda:0] (gpu=0, 562ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[1-2-cuda:0] (gpu=2, 542ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[1-32-cuda:0] (gpu=3, 784ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[2-1-cuda:0] (gpu=4, 557ms, exit=0)
