PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[2-2-cuda:0] (gpu=0, 1045ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_allowed_token_ids[2-32-cuda:0] (gpu=2, 1755ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths0-1-cuda:0] (gpu=3, 1451ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths0-2-cuda:0] (gpu=4, 1447ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths0-32-cuda:0] (gpu=5, 1967ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths1-1-cuda:0] (gpu=6, 1486ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths1-2-cuda:0] (gpu=0, 525ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths1-32-cuda:0] (gpu=2, 1197ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths2-1-cuda:0] (gpu=3, 907ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths2-2-cuda:0] (gpu=4, 690ms, exit=0)
PASSED         tests/v1/sample/test_sampler.py::test_sampler_bad_words[bad_words_lengths2-32-cuda:0] (gpu=5, 1075ms, exit=0)
PASSED         tests/v1/worker/test_gpu_input_batch.py::test_sampling_metadata_in_input_batch[1-cuda:0] (gpu=6, 718ms, exit=0)
PASSED         tests/v1/worker/test_gpu_input_batch.py::test_sampling_metadata_in_input_batch[2-cuda:0] (gpu=0, 550ms, exit=0)
PASSED         tests/v1/worker/test_gpu_input_batch.py::test_sampling_metadata_in_input_batch[32-cuda:0] (gpu=2, 485ms, exit=0)
PASSED         tests/v1/worker/test_gpu_input_batch.py::test_sampling_metadata_in_input_batch[64-cuda:0] (gpu=3, 698ms, exit=0)
PASSED         tests/v1/worker/test_gpu_input_batch.py::test_swap_states_in_input_batch[swap_list0-32-cuda:0] (gpu=4, 677ms, exit=0)
