IGNORED        tests/lora/test_peft_helper.py::test_peft_helper_error[test_rank-config_change0-is greater than max_lora_rank] (gpu=0, Nonems, exit=1)
IGNORED        tests/lora/test_peft_helper.py::test_peft_helper_error[test_dora-config_change1-does not yet support DoRA] (gpu=2, Nonems, exit=1)
IGNORED        tests/lora/test_peft_helper.py::test_peft_helper_error[test_modules_to_save-config_change2-only supports modules_to_save being None] (gpu=3, Nonems, exit=1)
IGNORED        tests/model_executor/model_loader/test_sharded_state_loader.py::test_sharded_state_loader[1-False] (gpu=4, Nonems, exit=1)
IGNORED        tests/model_executor/model_loader/test_sharded_state_loader.py::test_sharded_state_loader[1-True] (gpu=5, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_4bit_bnb_model[facebook/opt-125m-quantize opt model inflight] (gpu=6, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_4bit_bnb_model[mistralai/Mistral-7B-Instruct-v0.3-quantize inflight model with both HF and Mistral format weights] (gpu=0, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_pre_quant_4bit_bnb_model[PrunaAI/Einstein-v6.1-Llama3-8B-bnb-4bit-smashed-read pre-quantized 4-bit FP4 model] (gpu=2, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_pre_quant_4bit_bnb_model[poedator/opt-125m-bnb-4bit-read pre-quantized 4-bit NF4 opt model] (gpu=3, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_8bit_bnb_model[hmellor/tiny-random-LlamaForCausalLM-read pre-quantized llama 8-bit model] (gpu=4, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_8bit_bnb_model[yec019/fbopt-350m-8bit-read pre-quantized 8-bit opt model] (gpu=5, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_tp_4bit_bnb_model[facebook/opt-125m-quantize opt model inflight] (gpu=6, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_tp_4bit_bnb_model[mistralai/Mistral-7B-Instruct-v0.3-quantize inflight model with both HF and Mistral format weights] (gpu=0, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_pp_4bit_bnb_model[facebook/opt-125m-quantize opt model inflight] (gpu=2, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_load_pp_4bit_bnb_model[mistralai/Mistral-7B-Instruct-v0.3-quantize inflight model with both HF and Mistral format weights] (gpu=3, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_4bit_bnb_moe_model[allenai/OLMoE-1B-7B-0125-Instruct-quantize moe model inflight] (gpu=4, Nonems, exit=1)
IGNORED        tests/models/quantization/test_bitsandbytes.py::test_4bit_bnb_embedding_model[half-intfloat/e5-small-quantize embedding model inflight] (gpu=5, Nonems, exit=1)
IGNORED        tests/models/test_vision.py::test_get_load_balance_assignment_cases[sizes0-2-expected_shuffle_indices0-expected_gpu_sample_counts0-expected_grouped_sizes_per_gpu0-empty input] (gpu=6, Nonems, exit=1)
IGNORED        tests/models/test_vision.py::test_get_load_balance_assignment_cases[sizes1-4-expected_shuffle_indices1-expected_gpu_sample_counts1-expected_grouped_sizes_per_gpu1-fewer samples than GPUs] (gpu=0, Nonems, exit=1)
IGNORED        tests/models/test_vision.py::test_get_load_balance_assignment_cases[sizes2-1-expected_shuffle_indices2-expected_gpu_sample_counts2-expected_grouped_sizes_per_gpu2-single GPU] (gpu=2, Nonems, exit=1)
IGNORED        tests/models/test_vision.py::test_get_load_balance_assignment_cases[sizes3-2-expected_shuffle_indices3-expected_gpu_sample_counts3-expected_grouped_sizes_per_gpu3-balanced assignment] (gpu=3, Nonems, exit=1)
IGNORED        tests/models/test_vision.py::test_get_load_balance_assignment_cases[sizes4-2-expected_shuffle_indices4-expected_gpu_sample_counts4-expected_grouped_sizes_per_gpu4-unbalanced sizes] (gpu=4, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptInsertion-<image><image><image><image>-target_by_key1-expected_by_key1] (gpu=5, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptInsertion-Image:<image><image><image>Image:<image><image>!-target_by_key2-expected_by_key2] (gpu=6, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptInsertion-<|image|><image><|image|><image>-target_by_key3-expected_by_key3] (gpu=0, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptReplacement-<image><image><image><image>-target_by_key1-expected_by_key1] (gpu=2, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptReplacement-Image:<image><image><image>Image:<image><image>!-target_by_key2-expected_by_key2] (gpu=3, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_text_matches[PromptReplacement-<|image|><image><|image|><image>-target_by_key3-expected_by_key3] (gpu=4, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_update_text[Image:<image>Image:<image><image>!-target_by_key0-repl_by_key0-expected_by_update_type_mm_count0] (gpu=5, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_update_text[<image>-target_by_key2-repl_by_key2-expected_by_update_type_mm_count2] (gpu=6, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_update_text[<image><image><image>-target_by_key3-repl_by_key3-expected_by_update_type_mm_count3] (gpu=0, Nonems, exit=1)
IGNORED        tests/multimodal/test_processing.py::test_find_update_text[<image><image><image>-target_by_key4-repl_by_key4-expected_by_update_type_mm_count4] (gpu=2, Nonems, exit=1)
