ERROR          tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[123-10-llm_pair1] (gpu=0, 24467ms, exit=1)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[8-5-llm_pair1] (gpu=2, Nonems, exit=None)
ERROR          tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[8-30-llm_pair1] (gpu=3, 25173ms, exit=1)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[1-10-llm_pair3] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[7-10-llm_pair3] (gpu=5, Nonems, exit=None)
ERROR          tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[25-10-llm_pair3] (gpu=6, 24115ms, exit=1)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[32-10-llm_pair3] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[45-10-llm_pair3] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[64-10-llm_pair3] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[123-10-llm_pair3] (gpu=4, Nonems, exit=None)
ERROR          tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[8-5-llm_pair3] (gpu=5, 23226ms, exit=1)
ERROR          tests/compile/fullgraph/test_full_cudagraph.py::TestFullCUDAGraph::test_full_cudagraph[8-30-llm_pair3] (gpu=6, 23116ms, exit=1)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_graph.py::test_full_graph[facebook/opt-125m-model_kwargs0-2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_graph.py::test_full_graph[facebook/opt-125m-model_kwargs0-3] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_graph.py::test_custom_compile_config[compilation_config0-facebook/opt-125m-model_kwargs0] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/fullgraph/test_full_graph.py::test_custom_compile_config[compilation_config5-facebook/opt-125m-model_kwargs5] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_copy_pass (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_VLLM_DISABLE_COMPILE_CACHE[1] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_use_cudagraphs[NONE-0] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_use_cudagraphs[FULL_DECODE_ONLY-1] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_use_cudagraphs[FULL_AND_PIECEWISE-14] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_stock_torch_compile (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_no_compilation (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_enforce_eager (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_splitting_ops_dynamic (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_config.py::test_moe_splitting_ops_deepep_ht_inductor_partition (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_dynamic_shapes_compilation.py::test_model_specialization_with_evaluate_guards[False-backed-1] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_dynamic_shapes_compilation.py::test_model_specialization_with_evaluate_guards[False-backed_size_oblivious-0] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_dynamic_shapes_compilation.py::test_model_specialization_with_evaluate_guards[False-backed_size_oblivious-1] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_dynamic_shapes_compilation.py::test_model_specialization_with_evaluate_guards[True-backed_size_oblivious-0] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_dynamic_shapes_compilation.py::test_model_specialization_with_evaluate_guards[True-backed_size_oblivious-1] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestSiluMul-dtype0] (gpu=2, Nonems, exit=None)
