RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestSiluMul-dtype1] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestFusedAddRMSNorm-dtype0] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestFusedAddRMSNorm-dtype1] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestRotaryEmbedding-dtype0] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestRotaryEmbedding-dtype1] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestRotaryEmbeddingSliceScatter-dtype0] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[True-TestRotaryEmbeddingSliceScatter-dtype1] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestSiluMul-dtype0] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestSiluMul-dtype1] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestFusedAddRMSNorm-dtype0] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestFusedAddRMSNorm-dtype1] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestRotaryEmbedding-dtype0] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestRotaryEmbedding-dtype1] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_functionalization.py::test_fix_functionalization[False-TestRotaryEmbeddingSliceScatter-dtype1] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_pass_manager.py::test_pass_manager_uuid[callable0] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_pass_manager.py::test_pass_manager_uuid[callable1] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_pass_manager.py::test_pass_manager_uuid[callable2] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_wrapper.py::test_torch_compile_wrapper[True] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/compile/test_wrapper.py::test_torch_compile_wrapper[False] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/config/test_mp_reducer.py::test_mp_reducer (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/detokenizer/test_disable_detokenization.py::test_computed_prefix_blocks[distilbert/distilgpt2] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/detokenizer/test_min_tokens.py::test_min_tokens_with_stop[0-None- is Lee, and I'm a student in the college of engineering] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/detokenizer/test_min_tokens.py::test_min_tokens_with_stop[5-e- is Lee, and I'm a stud] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/detokenizer/test_stop_reason.py::test_stop_reason (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_comm_ops.py::test_multi_process_tensor_parallel[test_target0-2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_comm_ops.py::test_multi_process_tensor_parallel[test_target1-2] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_comm_ops.py::test_multi_process_tensor_parallel[test_target2-2] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_comm_ops.py::test_multi_process_pipeline_parallel[test_target0-2] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_comm_ops.py::test_multi_process_pipeline_parallel[test_target1-2] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_execute.py::test_async_transfer_layer_without_mtp[2-2-2-3] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_execute.py::test_rearrange_expert_weights_no_change[2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_fused_moe_layer.py::test_eplb_fml[True-256-256-16-4-2] (gpu=2, Nonems, exit=None)
