RETRIABLE_ERROR tests/distributed/test_eplb_fused_moe_layer.py::test_eplb_fml[False-256-256-16-4-2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_fused_moe_layer_dep_nvfp4.py::test_eplb_fml[latency-256-256-256-32-8-2] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_fused_moe_layer_dep_nvfp4.py::test_eplb_fml[throughput-256-256-256-32-8-2] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_spec_decode.py::test_eplb_spec_decode[qwen3_next_mtp] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_eplb_spec_decode.py::test_eplb_spec_decode_qwen3_next_mtp_async (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_expert_parallel.py::test_ep[deepseek-ai/DeepSeek-V2-Lite-parallel_setup0-mp-auto-test_options0] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_initialization_tensor_parallel (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_collective_rpc (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_failure_callback (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_worker_monitor (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_get_response_message_queues (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/distributed/test_multiproc_executor.py::test_multiproc_executor_shutdown_cleanup (gpu=6, Nonems, exit=None)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[ibm/PowerLM-3b-parallel_setup1-mp-auto-test_options1] (gpu=0, 317ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[ai21labs/Jamba-tiny-dev-parallel_setup2-mp-auto-test_options2] (gpu=2, 300ms, exit=1)
PASSED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[TinyLlama/TinyLlama-1.1B-Chat-v1.0-parallel_setup3-mp-auto-test_options3] (gpu=3, 348ms, exit=0)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[hmellor/Ilama-3.2-1B-parallel_setup4-mp-auto-test_options4] (gpu=4, 311ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup5-mp-auto-test_options5] (gpu=5, 327ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup6-ray-auto-test_options6] (gpu=6, 307ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup7-mp-auto-test_options7] (gpu=0, 239ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup8-ray-auto-test_options8] (gpu=2, 311ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup9-mp-auto-test_options9] (gpu=3, 295ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup10-ray-auto-test_options10] (gpu=4, 286ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup11-mp-auto-test_options11] (gpu=5, 324ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup12-ray-auto-test_options12] (gpu=6, 340ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup13-mp-auto-test_options13] (gpu=0, 253ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_generation[microsoft/Phi-3.5-MoE-instruct-parallel_setup14-ray-auto-test_options14] (gpu=2, 321ms, exit=1)
PASSED         tests/distributed/test_pipeline_parallel.py::test_tp_language_embedding[intfloat/e5-small-parallel_setup0-mp-pooling-test_options0] (gpu=3, 303ms, exit=0)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_language_embedding[Alibaba-NLP/gte-modernbert-base-parallel_setup1-mp-pooling-test_options1] (gpu=4, 367ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_multimodal_generation[OpenGVLab/InternVL2-1B-parallel_setup0-mp-auto-test_options0] (gpu=5, 255ms, exit=1)
FAILED         tests/distributed/test_pipeline_parallel.py::test_tp_multimodal_generation[fixie-ai/ultravox-v0_5-llama-3_2-1b-parallel_setup2-mp-auto-test_options2] (gpu=6, 358ms, exit=1)
FAILED         tests/distributed/test_pp_cudagraph.py::test_pp_cudagraph[FLASH_ATTN-2-hmellor/tiny-random-LlamaForCausalLM] (gpu=0, 30052ms, exit=1)
PASSED         tests/distributed/test_pynccl.py::test_pynccl (gpu=2, 0ms, exit=0)
