PASSED         tests/distributed/test_pynccl.py::test_pynccl_all_gather (gpu=0, 0ms, exit=0)
PASSED         tests/distributed/test_pynccl.py::test_pynccl_all_gatherv (gpu=2, 0ms, exit=0)
PASSED         tests/distributed/test_pynccl.py::test_pynccl_reduce_scatter (gpu=3, 0ms, exit=0)
PASSED         tests/distributed/test_pynccl.py::test_pynccl_reduce_scatterv (gpu=4, 0ms, exit=0)
PASSED         tests/distributed/test_pynccl.py::test_pynccl_with_cudagraph (gpu=5, 0ms, exit=0)
PASSED         tests/distributed/test_pynccl.py::test_pynccl_send_recv (gpu=6, 0ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup0-mp-auto-test_options0] (gpu=0, 221ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup2-mp-auto-test_options2] (gpu=2, 263ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup3-ray-auto-test_options3] (gpu=3, 299ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup8-mp-auto-test_options8] (gpu=4, 348ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup9-ray-auto-test_options9] (gpu=5, 365ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup10-mp-auto-test_options10] (gpu=6, 360ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-hmellor/tiny-random-LlamaForCausalLM-parallel_setup11-ray-auto-test_options11] (gpu=0, 241ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-RedHatAI/Llama-3.1-8B-Instruct-NVFP4-parallel_setup16-mp-auto-test_options16] (gpu=2, 298ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-RedHatAI/Llama-3.1-8B-Instruct-NVFP4-parallel_setup17-ray-auto-test_options17] (gpu=3, 222ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-RedHatAI/Llama-3.1-8B-Instruct-NVFP4-parallel_setup18-mp-auto-test_options18] (gpu=4, 300ms, exit=0)
PASSED         tests/distributed/test_sequence_parallel.py::test_tp_sp_generation[False-False-RedHatAI/Llama-3.1-8B-Instruct-NVFP4-parallel_setup19-ray-auto-test_options19] (gpu=5, 306ms, exit=0)
ERROR          tests/entrypoints/llm/test_chat.py::test_chat_extra_kwargs[True] (gpu=6, 5528ms, exit=1)
ERROR          tests/entrypoints/llm/test_chat.py::test_chat_extra_kwargs[False] (gpu=0, 5625ms, exit=1)
FAILED         tests/entrypoints/llm/test_collective_rpc.py::test_collective_rpc[mp-1] (gpu=2, 4238ms, exit=1)
ERROR          tests/entrypoints/llm/test_generate.py::test_multiple_sampling_params (gpu=3, 6534ms, exit=1)
ERROR          tests/entrypoints/llm/test_generate.py::test_multiple_priority (gpu=4, 6968ms, exit=1)
FAILED         tests/entrypoints/llm/test_generate.py::test_log_stats (gpu=5, 7390ms, exit=1)
FAILED         tests/entrypoints/llm/test_gpu_utilization.py::test_gpu_memory_utilization (gpu=6, 5066ms, exit=1)
ERROR          tests/entrypoints/offline_mode/test_offline_mode.py::test_offline_mode (gpu=0, 5081ms, exit=1)
ERROR          tests/entrypoints/offline_mode/test_offline_mode.py::test_model_from_huggingface_offline (gpu=2, 4460ms, exit=1)
FAILED         tests/entrypoints/openai/correctness/test_transcription_api_correctness.py::test_wer_correctness[12.74498-D4nt3/esb-datasets-earnings22-validation-tiny-filtered-openai/whisper-small] (gpu=3, 25842ms, exit=1)
FAILED         tests/entrypoints/openai/parser/test_harmony_utils.py::TestParseChatOutput::test_parse_chat_output_interrupted_reasoning_first_message (gpu=4, 30203ms, exit=1)
FAILED         tests/entrypoints/openai/parser/test_harmony_utils.py::TestParseChatOutput::test_parse_chat_output_complete_commentary (gpu=5, 30226ms, exit=1)
FAILED         tests/entrypoints/openai/parser/test_harmony_utils.py::TestParseChatOutput::test_parse_chat_output_complete_reasoning_and_content (gpu=6, 30174ms, exit=1)
ERROR          tests/entrypoints/openai/test_async_tokenization.py::test_with_and_without_truncate[completion] (gpu=0, 22087ms, exit=1)
ERROR          tests/entrypoints/openai/test_basic.py::test_check_health[default-frontend-multiprocessing] (gpu=2, 22078ms, exit=1)
