FAILED         tests/entrypoints/openai/test_prompt_validation.py::test_empty_prompt (gpu=0, 294ms, exit=1)
FAILED         tests/entrypoints/openai/test_prompt_validation.py::test_out_of_vocab_token_ids (gpu=2, 278ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_mcp_tools.py::test_mcp_tool_env_flag_enabled[openai/gpt-oss-20b] (gpu=3, 199ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_mcp_tools.py::test_mcp_tool_with_allowed_tools_star[openai/gpt-oss-20b] (gpu=4, 273ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_structured_output_with_parse[openai/gpt-oss-20b] (gpu=5, 36ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_store[openai/gpt-oss-20b] (gpu=6, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_background[openai/gpt-oss-20b] (gpu=0, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_background_cancel[openai/gpt-oss-20b] (gpu=2, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_stateful_multi_turn[openai/gpt-oss-20b] (gpu=3, 33ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_streaming_types[openai/gpt-oss-20b] (gpu=4, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_calling_with_streaming_types[openai/gpt-oss-20b] (gpu=5, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_streaming[False-openai/gpt-oss-20b] (gpu=6, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_code_interpreter[openai/gpt-oss-20b] (gpu=0, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_reasoning_item[openai/gpt-oss-20b] (gpu=2, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_calling[openai/gpt-oss-20b] (gpu=3, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_calling_multi_turn[openai/gpt-oss-20b] (gpu=4, 53ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_calling_required[openai/gpt-oss-20b] (gpu=5, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_system_message_with_tools[openai/gpt-oss-20b] (gpu=6, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_calling_full_history[openai/gpt-oss-20b] (gpu=0, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_output_messages_enabled[openai/gpt-oss-20b] (gpu=2, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_response_api_with_harmony.py::test_function_call_with_previous_input_messages[openai/gpt-oss-20b] (gpu=3, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_return_tokens_as_ids.py::test_completion_return_tokens_as_token_ids_completion[True] (gpu=4, 2ms, exit=1)
ERROR          tests/entrypoints/openai/test_return_tokens_as_ids.py::test_completion_return_tokens_as_token_ids_completion[False] (gpu=5, 2ms, exit=1)
ERROR          tests/entrypoints/openai/test_return_tokens_as_ids.py::test_chat_return_tokens_as_token_ids_completion[False] (gpu=6, 2ms, exit=1)
ERROR          tests/entrypoints/openai/test_root_path.py::test_chat_session_root_path_with_api_key[test_case0] (gpu=0, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_root_path.py::test_chat_session_root_path_with_api_key[test_case1] (gpu=2, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_root_path.py::test_chat_session_root_path_with_api_key[test_case2] (gpu=3, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_root_path.py::test_chat_session_root_path_with_api_key[test_case3] (gpu=4, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_serving_chat.py::test_gpt_oss_chat_tool_call_streaming[with_tool_parser] (gpu=5, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_serving_chat.py::test_gpt_oss_multi_turn_chat[with_tool_parser] (gpu=6, 32ms, exit=1)
ERROR          tests/entrypoints/openai/test_serving_chat.py::test_gpt_oss_tool_message_array_content[with_tool_parser] (gpu=0, 31ms, exit=1)
ERROR          tests/entrypoints/openai/test_serving_chat.py::test_gpt_oss_tool_message_array_content[without_tool_parser] (gpu=2, 32ms, exit=1)
