FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_2of4_quant_int8[args_2of41] (gpu=0, 260ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_2of4_quant_int8[args_2of42] (gpu=2, 255ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_2of4_sparse[nm-testing/TinyLlama-1.1B-Chat-v1.0-2of4-Sparse-Dense-Compressor] (gpu=3, 253ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_2of4_sparse_compressed[nm-testing/llama2.c-stories42M-pruned2.4-compressed] (gpu=4, 146ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_nvfp4[args0] (gpu=5, 261ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_w4a8_fp8[args0] (gpu=6, 288ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_fp8_block_enabled (gpu=0, 183ms, exit=1)
FAILED         tests/quantization/test_compressed_tensors.py::test_compressed_tensors_moe_ignore_with_model (gpu=2, 195ms, exit=1)
FAILED         tests/quantization/test_cpu_offload.py::test_cpu_offload_fp8 (gpu=3, 275ms, exit=1)
FAILED         tests/quantization/test_cpu_offload.py::test_cpu_offload_gptq (gpu=4, 288ms, exit=1)
FAILED         tests/quantization/test_cpu_offload.py::test_cpu_offload_awq (gpu=5, 149ms, exit=1)
FAILED         tests/quantization/test_cpu_offload.py::test_cpu_offload_compressed_tensors (gpu=6, 309ms, exit=1)
FAILED         tests/quantization/test_experts_int8.py::test_model_experts_int8_startup[4-bfloat16-ai21labs/Jamba-tiny-random] (gpu=0, 201ms, exit=1)
FAILED         tests/quantization/test_experts_int8.py::test_model_experts_int8_startup[4-bfloat16-pfnet/plamo-2-1b] (gpu=2, 195ms, exit=1)
FAILED         tests/quantization/test_lm_head.py::test_lm_head[ModelCloud/Qwen1.5-1.8B-Chat-GPTQ-4bits-dynamic-cfg-with-lm_head-True] (gpu=3, 226ms, exit=1)
FAILED         tests/quantization/test_lm_head.py::test_lm_head[TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ-False] (gpu=4, 206ms, exit=1)
FAILED         tests/quantization/test_rtn.py::test_model_rtn_startup[10-bfloat16-ai21labs/Jamba-tiny-dev] (gpu=5, 147ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[simple_output] (gpu=6, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[simple_output_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[no_end_token] (gpu=2, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[no_end_token_streaming] (gpu=3, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[only_end_token] (gpu=4, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[only_end_token_streaming] (gpu=5, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[multiple_lines] (gpu=6, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[multiple_lines_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[empty] (gpu=2, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[empty_streaming] (gpu=3, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[special_chars] (gpu=4, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[special_chars_streaming] (gpu=5, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[code_output] (gpu=6, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_append_reasoning_parser.py::test_reasoning[code_output_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[simple_reasoning] (gpu=2, 1ms, exit=1)
