ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode[False-expected_tokens0-mistralai/Mistral-7B-Instruct-v0.3] (gpu=0, 4ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode[True-expected_tokens1-mistralai/Mistral-7B-Instruct-v0.3] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode_empty[mistralai/Mistral-7B-Instruct-v0.3] (gpu=3, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode_int[mistralai/Mistral-7B-Instruct-v0.3] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode[False-expected_tokens0-mistralai/Mistral-7B-Instruct-v0.3] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode[True-expected_tokens1-mistralai/Mistral-7B-Instruct-v0.3] (gpu=6, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode_empty[mistralai/Mistral-7B-Instruct-v0.3] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_tokens_to_string[mistralai/Mistral-7B-Instruct-v0.3] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_ids_to_tokens[True-tuple_expected_tokens0-mistralai/Mistral-7B-Instruct-v0.3] (gpu=3, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_ids_to_tokens[False-tuple_expected_tokens1-mistralai/Mistral-7B-Instruct-v0.3] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_all_special_tokens[mistralai/Magistral-Small-2509] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_get_added_vocab[mistralai/Magistral-Small-2509] (gpu=6, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_encode[mistralai/Magistral-Small-2509] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_call[mistralai/Magistral-Small-2509] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request0-True-False-expected_output0-decoded_expected_output0-mistralai/Magistral-Small-2509] (gpu=3, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request1-True-False-expected_output1-decoded_expected_output1-mistralai/Magistral-Small-2509] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request2-True-False-expected_output2-decoded_expected_output2-mistralai/Magistral-Small-2509] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request3-True-False-expected_output3-decoded_expected_output3-mistralai/Magistral-Small-2509] (gpu=6, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request4-False-True-expected_output4-decoded_expected_output4-mistralai/Magistral-Small-2509] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template_error[mistralai/Magistral-Small-2509] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode[False-expected_tokens0-mistralai/Magistral-Small-2509] (gpu=3, 4ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode[True-expected_tokens1-mistralai/Magistral-Small-2509] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode_empty[mistralai/Magistral-Small-2509] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_decode_int[mistralai/Magistral-Small-2509] (gpu=6, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode[False-expected_tokens0-mistralai/Magistral-Small-2509] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode[True-expected_tokens1-mistralai/Magistral-Small-2509] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_batch_decode_empty[mistralai/Magistral-Small-2509] (gpu=3, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_tokens_to_string[mistralai/Magistral-Small-2509] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_ids_to_tokens[True-tuple_expected_tokens0-mistralai/Magistral-Small-2509] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_convert_ids_to_tokens[False-tuple_expected_tokens1-mistralai/Magistral-Small-2509] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_deepseekv31_tool_parser.py::test_extract_tool_calls_with_tool (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_deepseekv31_tool_parser.py::test_extract_tool_calls_with_multiple_tools (gpu=2, 3ms, exit=1)
