ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls_no_tools (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls[single_tool_call] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls[multiple_tool_calls] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls[tool_call_with_content_before] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls_streaming_incremental[single_tool_call] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls_streaming_incremental[multiple_tool_calls] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_ernie45_moe_tool_parser.py::test_extract_tool_calls_streaming_incremental[tool_call_with_content_before] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls_no_tools (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls[single_tool] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls[single_tool_with_content] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls[parallel_tools] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls_streaming[no_tools] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls_streaming[single_tool] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls_streaming[single_tool_with_content] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_jamba_tool_parser.py::test_extract_tool_calls_streaming[parallel_tools] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls_no_tools (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[tool_call_with_content_before] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[multi_tool_call_with_content_before] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[concatenated_tool_calls_bug_fix] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[three_concatenated_tool_calls] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[mixed_spacing_tool_calls] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[angle_brackets_in_json] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls[newlines_in_json] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls_invalid_json (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_extract_tool_calls_invalid_funcall (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_streaming_basic_functionality (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_streaming_no_tool_calls (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_token_leak_between_section_and_tool_begin (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_split_markers_across_deltas (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_marker_variants (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_reentry_to_reasoning_after_tool_section (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_empty_tool_section (gpu=2, 3ms, exit=1)
