ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_malformed_tool_section_recovery (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_state_reset (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_section_begin_noise_tool_begin_same_chunk (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_stream_ends_without_section_end_marker (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_same_chunk_begin_and_end_markers (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_same_chunk_begin_content_end_markers (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_kimi_k2_tool_parser.py::test_tool_call_end_and_section_end_same_chunk (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls_no_tools (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls[single_tool_call] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls[multiple_tool_calls] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls[tool_call_with_content_before] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls[tool_call_with_single_line_json] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls[tool_call_incomplete_tag] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_preprocess_model_output_with_thinking_tags (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls_with_thinking_tags (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls_invalid_json (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls_missing_name_or_arguments (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_basic_functionality (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_with_content_before_tool_calls (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_no_tool_calls (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_with_thinking_tags (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_extract_tool_calls_multiline_json_not_supported (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_arguments_incremental_output (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_arguments_delta_only (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_openai_compatibility (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_thinking_tag_buffering (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_complex_scenario_with_multiple_tools (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_character_by_character_output (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_character_by_character_simple_tool_call (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_minimax_tool_parser.py::test_streaming_character_by_character_with_buffering (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_no_tools (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_pre_v11_tokenizer[single_tool_add] (gpu=2, 3ms, exit=1)
