ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_pre_v11_tokenizer[single_tool_weather] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_pre_v11_tokenizer[argument_before_name] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_pre_v11_tokenizer[argument_before_name_and_name_in_argument] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls[single_tool_add] (gpu=4, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls[single_tool_weather] (gpu=5, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls[multiple_tool_calls] (gpu=6, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[no_tools] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[single_tool_add] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[single_tool_add_strings] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[single_tool_weather] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[argument_before_name] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[argument_before_name_and_name_in_argument] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer[multiple_tools] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming[single_tool_add] (gpu=2, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming[single_tool_add_strings] (gpu=3, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming[multiple_tools] (gpu=4, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_one_chunk[single_tool_add] (gpu=5, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_one_chunk[single_tool_weather] (gpu=6, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_one_chunk[multiple_tool_calls] (gpu=0, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_one_chunk[content_before_tool] (gpu=2, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_one_chunk[complex] (gpu=3, 4ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[no_tools] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[single_tool_add] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[single_tool_add_strings] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[single_tool_weather] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[argument_before_name] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[argument_before_name_and_name_in_argument] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_mistral_tool_parser.py::test_extract_tool_calls_streaming_pre_v11_tokenizer_one_chunk[multiple_tools] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_no_tools[xml] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls[xml-single_tool] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls[xml-single_tool_with_content] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls[xml-single_tool_multiline_param] (gpu=2, 3ms, exit=1)
