ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls[xml-parallel_tools] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls[xml-tool_with_typed_params] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_fallback_no_tags[xml] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_type_conversion[xml] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-no_tools] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-single_tool] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-single_tool_with_content] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-single_tool_multiline_param] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-parallel_tools] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming[xml-tool_with_typed_params] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_missing_closing_parameter_tag[xml] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming_missing_closing_tag[xml] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming_incremental[xml] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_complex_type_with_single_quote[xml] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_qwen3coder_tool_parser.py::test_extract_tool_calls_streaming_missing_opening_tag[xml] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_extract_tool_calls_no_tools (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_extract_tool_calls[tool_call_0_thinking_budget] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_extract_tool_calls[tool_call_512_thinkg_budget] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_extract_tool_calls[tool_call_unlimited_thinking_budget] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_streaming_tool_calls_no_tools (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_streaming_tool_calls[tool_call_0_thinking_budget] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_streaming_tool_calls[tool_call_512_thinkg_budget] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_seed_oss_tool_parser.py::test_streaming_tool_calls[tool_call_unlimited_thinking_budget] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_no_tools (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls[parallel_tool_calls] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls[single_tool_with_think_tag] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls[single_tool_with_json_code_block] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls[single_tool_with_tool_calls_tag] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls[single_tool_with_tool_call_xml_tags] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_list_structure[list_structured_tool_call] (gpu=6, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_preprocess_model_output (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_streaming_with_list_structure (gpu=2, 3ms, exit=1)
