ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_streaming_incremental[parallel_tool_calls] (gpu=0, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_streaming_incremental[single_tool_with_think_tag] (gpu=2, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_streaming_incremental[single_tool_with_json_code_block] (gpu=3, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_streaming_incremental[single_tool_with_tool_calls_tag] (gpu=4, 3ms, exit=1)
ERROR          tests/tool_parsers/test_xlam_tool_parser.py::test_extract_tool_calls_streaming_incremental[single_tool_with_tool_call_xml_tags] (gpu=5, 3ms, exit=1)
ERROR          tests/tool_use/mistral/test_mistral_tool_calls.py::test_tool_call_with_tool_choice[mistral] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[llama] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[llama] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[llama] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[llama] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[llama] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[llama] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[llama] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[llama3.2] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[llama3.2] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[llama3.2] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[llama3.2] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[llama3.2] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[llama3.2] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[llama3.2] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[mistral-7b] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[mistral-7b] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[mistral-7b] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[mistral-7b] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[mistral-7b] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[mistral-7b] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[mistral-7b] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[granite-3.0-8b] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[granite-3.0-8b] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[granite-3.0-8b] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[granite-3.0-8b] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[granite-3.0-8b] (gpu=2, 2ms, exit=1)
