ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[granite-3.0-8b] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[granite-3.0-8b] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[granite-3.1-8b] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[granite-3.1-8b] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[granite-3.1-8b] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[granite-3.1-8b] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[granite-3.1-8b] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[granite-3.1-8b] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[granite-3.1-8b] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[internlm] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[internlm] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[internlm] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[internlm] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[internlm] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[internlm] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[internlm] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_without_tools[toolACE] (gpu=5, 2ms, exit=1)
ERROR          tests/tool_use/test_chat_completions.py::test_chat_completion_with_tools[toolACE] (gpu=6, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls[toolACE] (gpu=0, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_with_results[toolACE] (gpu=2, 2ms, exit=1)
ERROR          tests/tool_use/test_parallel_tool_calls.py::test_parallel_tool_calls_false[toolACE] (gpu=3, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_and_choice[toolACE] (gpu=4, 2ms, exit=1)
ERROR          tests/tool_use/test_tool_calls.py::test_tool_call_with_results[toolACE] (gpu=5, 2ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FA3-FULL-True] (gpu=6, 287ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FA3-FULL_AND_PIECEWISE-True] (gpu=0, 309ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FA2-FULL-True] (gpu=2, 266ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FA2-FULL_AND_PIECEWISE-True] (gpu=3, 229ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FlashInfer-FULL-True] (gpu=4, 569ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_backend_and_cudagraph_mode_combo[FlashInfer-FULL_AND_PIECEWISE-True] (gpu=5, 605ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_cudagraph_compilation_combo[FA2-FULL-0-True] (gpu=6, 228ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_cudagraph_compilation_combo[FA2-FULL-3-True] (gpu=0, 167ms, exit=1)
FAILED         tests/v1/cudagraph/test_cudagraph_mode.py::test_cudagraph_compilation_combo[FA2-PIECEWISE-0-True] (gpu=2, 164ms, exit=1)
