FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_chatglm2.jinja-string] (gpu=0, 264128ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_chatml.jinja-string] (gpu=1, 264269ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_dse_qwen2_vl.jinja-openai] (gpu=2, 264291ms, exit=1)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_falcon_180b.jinja-string] (gpu=3, Nonems, exit=None)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_falcon.jinja-string] (gpu=4, 264147ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_inkbot.jinja-string] (gpu=5, 263917ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_teleflm.jinja-string] (gpu=6, 264012ms, exit=1)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_vlm2vec_phi3v.jinja-openai] (gpu=7, Nonems, exit=None)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[template_vlm2vec_qwen2vl.jinja-openai] (gpu=0, 264119ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_granite_20b_fc.jinja-string] (gpu=1, 264079ms, exit=1)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_hermes.jinja-string] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_internlm2_tool.jinja-string] (gpu=3, Nonems, exit=None)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_llama3.1_json.jinja-openai] (gpu=4, 262589ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_llama3.2_json.jinja-openai] (gpu=5, 264033ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_mistral_parallel.jinja-string] (gpu=6, 263880ms, exit=1)
FAILED         tests/entrypoints/test_chat_utils.py::test_resolve_content_format_examples[tool_chat_template_mistral.jinja-string] (gpu=7, 264418ms, exit=1)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_parse_chat_messages_include_thinking_chunk (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_chat_utils.py::test_apply_mistral_chat_template_thinking_chunk (gpu=1, Nonems, exit=None)
ERROR          tests/entrypoints/test_chat_utils.py::test_parse_chat_messages_single_empty_audio_with_uuid (gpu=2, 263652ms, exit=1)
ERROR          tests/entrypoints/test_chat_utils.py::test_parse_chat_messages_single_empty_audio_with_uuid_async (gpu=3, 263503ms, exit=1)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_single_turn_token_counting (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_multi_turn_token_counting (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_empty_output_tokens (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_missing_prompt_token_ids (gpu=7, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_zero_tokens_edge_case (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_single_turn_no_tool_output (gpu=1, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_negative_tool_tokens_edge_case (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_streaming_multi_turn_token_counting (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_streaming_message_synchronization (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/entrypoints/test_context.py::test_turn_metrics_copy_and_reset (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/evals/gpt_oss/test_gpqa_correctness.py::test_gpqa_correctness (gpu=6, Nonems, exit=None)
FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[Qwen3-0.6B-FP8-tp1] (gpu=7, 263456ms, exit=1)
