FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[Llama-3.2-1B-Instruct-INT8-CT-tp1] (gpu=0, 263226ms, exit=1)
FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[Llama-3-8B-Instruct-nonuniform-CT-tp1] (gpu=1, 263136ms, exit=1)
FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[Qwen2.5-VL-3B-Instruct-FP8-dynamic-tp1] (gpu=2, 263157ms, exit=1)
FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[Qwen1.5-MoE-W4A16-CT-tp1] (gpu=3, 263897ms, exit=1)
FAILED         tests/evals/gsm8k/test_gsm8k_correctness.py::test_gsm8k_correctness_param[DeepSeek-V2-Lite-Instruct-FP8-tp1] (gpu=4, 262853ms, exit=1)
RETRIABLE_ERROR tests/kernels/attention/test_aiter_flash_attn.py::test_varlen_with_paged_kv[None-2048-None-dtype0-256-16-256-num_heads1-seq_lens1] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-32-num_heads0-7-v2] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-32-num_heads1-7-v2] (gpu=7, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-80-num_heads1-7-v2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-128-num_heads1-7-v2] (gpu=1, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-256-num_heads0-7-v2] (gpu=2, Nonems, exit=None)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-False-256-num_heads1-7-v2] (gpu=3, 10320ms, exit=0)
FAILED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-32-num_heads0-7-v1] (gpu=4, 10562ms, exit=1)
FAILED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-32-num_heads0-7-v2] (gpu=5, 10501ms, exit=1)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-80-num_heads0-7-v2] (gpu=6, 10688ms, exit=0)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-128-num_heads0-7-v1] (gpu=7, 10341ms, exit=0)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-128-num_heads1-7-v2] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-256-num_heads0-7-v1] (gpu=1, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-16-True-256-num_heads1-7-v1] (gpu=2, Nonems, exit=None)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-32-num_heads0-7-v1] (gpu=3, 10409ms, exit=0)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-32-num_heads0-7-v2] (gpu=4, 10420ms, exit=0)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-32-num_heads1-7-v2] (gpu=5, 10188ms, exit=0)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-128-num_heads0-7-v1] (gpu=6, 10339ms, exit=0)
PASSED         tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-128-num_heads1-7-v2] (gpu=7, 10226ms, exit=0)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-256-num_heads1-7-v1] (gpu=0, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-False-256-num_heads1-7-v2] (gpu=1, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-32-num_heads0-7-v2] (gpu=2, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-32-num_heads1-7-v2] (gpu=3, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-80-num_heads1-7-v2] (gpu=4, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-128-num_heads1-7-v1] (gpu=5, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-256-num_heads1-7-v1] (gpu=6, Nonems, exit=None)
RETRIABLE_ERROR tests/kernels/attention/test_attention.py::test_paged_attention[cuda:0-0-auto-dtype0-32-True-256-num_heads1-7-v2] (gpu=7, Nonems, exit=None)
